YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2011 01 06 15 50 199  0.7  1.4  0.84  4.35  4.19 999 9999.0  -0.8   6.6 999.0 99.0 99.00
2011 01 06 16 50 254  3.5  5.7  0.75  4.55  4.10 999 9999.0  -1.6   6.6 999.0 99.0 99.00
2011 01 06 17 50 268  4.6  7.2  0.73  4.35  3.96 999 9999.0  -1.2   6.6 999.0 99.0 99.00
2011 01 06 18 50 263  4.2  7.9  0.75  4.55  4.04 999 9999.0  -1.4   6.6 999.0 99.0 99.00
2011 01 06 19 50 265  3.8  5.8  0.71  4.35  3.82 999 9999.0  -1.4   6.6 999.0 99.0 99.00
2011 01 06 20 50 257  3.9  5.6  0.69  4.00  3.93 999 9999.0  -1.6   6.6 999.0 99.0 99.00
2011 01 06 21 50 272  3.2  4.8  0.65  8.33  4.07 999 9999.0  -1.7   6.6 999.0 99.0 99.00
2011 01 06 22 50 267  3.2  5.1  0.64  7.69  4.51 999 9999.0  -1.5   6.6 999.0 99.0 99.00
2011 01 06 23 50 295  1.5  3.2  0.57  7.69  4.52 999 9999.0  -1.9   6.6 999.0 99.0 99.00
2011 01 07 00 50 306  2.5  4.4  0.55  6.67  4.51 999 9999.0  -2.0   6.6 999.0 99.0 99.00
2011 01 07 01 50 326  2.6  4.3  0.52  7.14  4.83 999 9999.0  -1.9   6.6 999.0 99.0 99.00
2011 01 07 02 50 358  2.7  4.0  0.49  7.14  5.02 999 9999.0  -2.2   6.6 999.0 99.0 99.00
2011 01 07 03 50 289  1.2  2.4  0.47  6.67  5.16 999 9999.0  -2.1   6.6 999.0 99.0 99.00
2011 01 07 04 50 341  1.4  2.7  0.42  8.33  5.44 999 9999.0  -2.4   6.6 999.0 99.0 99.00
2011 01 07 05 50  40  0.1  1.0  0.42  8.33  5.53 999 9999.0  -2.3   6.6 999.0 99.0 99.00
2011 01 07 06 50 259  0.4  0.9  0.43  8.33  5.76 999 9999.0  -2.3   6.6 999.0 99.0 99.00
2011 01 07 07 50 318  0.3  1.1  0.48  8.33  6.16 999 9999.0  -1.9   6.6 999.0 99.0 99.00
2011 01 07 08 50 152  0.9  2.2  0.44  8.33  5.71 999 9999.0  -1.2   6.6 999.0 99.0 99.00
2011 01 07 09 50  50  1.8  3.0  0.56  7.69  4.55 999 9999.0  -1.5   6.6 999.0 99.0 99.00
2011 01 07 10 50  50  3.1  4.2  0.65  7.14  4.37 999 9999.0  -1.1   6.6 999.0 99.0 99.00
2011 01 07 11 50  64  1.2  2.5  0.61  7.69  4.56 999 9999.0  -0.9   6.6 999.0 99.0 99.00
2011 01 07 12 50  63  4.2  5.5  0.68  7.14  4.77 999 9999.0  -1.2   6.6 999.0 99.0 99.00
2011 01 07 13 50  35  1.1  2.9  0.66  7.14  4.53 999 9999.0  -0.8   6.4 999.0 99.0 99.00
2011 01 07 14 50 118  1.4  3.5  0.63  7.14  4.29 999 9999.0   0.7   6.4 999.0 99.0 99.00
2011 01 07 15 50  63  2.9  3.8  0.76  4.76  4.27 999 9999.0   1.9   6.5 999.0 99.0 99.00
2011 01 07 16 50 144  2.2  3.6  0.75  4.76  4.34 999 9999.0   0.9   6.5 999.0 99.0 99.00
2011 01 07 17 50 104  4.2  6.9  0.77  4.35  4.31 999 9999.0   2.0   6.4 999.0 99.0 99.00
2011 01 07 18 50  86  3.5  5.3  0.83  4.76  4.35 999 9999.0   1.2   6.4 999.0 99.0 99.00
