"","FIPS","County","Pop_Total","Pop_Urban","Pop_Rural","Pop_Rural_Farm","Pop_Rural_Nonfarm","Type","Pop_Male","Male_00_09","Male_10_19","Male_20_29","Male_30_39","Male_40_49","Male_50_59","Male_60_69","Male_70_79","Male_80_up","Pop_Female","Female_00_09","Female_10_19","Female_20_29","Female_30_39","Female_40_49","Female_50_59","Female_60_69","Female_70_79","Female_80_up","Male_Degree","Female_Degree","Pop_degree","Median_household_income","Total_median_earnings","Male_median_earnings","Female_median_earnings","Total_aggregate_earnings","Male_aggregate_earnings","Female_aggregate_earnings"
"287",230050045002,"Cumberland",642,642,NA,NA,NA,"Urban",262,28,46,10,34,54,51,16,0,23,380,65,0,45,51,31,83,52,34,19,0.348314607,0.298969072,0.317697228,20333,17059,19231,14712,13432100,6964100,6468000
"288",230050045003,"Cumberland",808,128,680,NA,680,"Rural",389,20,84,40,43,70,80,30,22,0,419,33,26,5,73,110,98,42,16,16,0.462686567,0.5,0.484076433,80643,26719,36250,23333,29105000,19095200,10009900
"289",230050045004,"Cumberland",1193,498,695,NA,695,"Rural",548,23,130,8,69,96,107,71,28,16,645,67,59,35,49,180,136,16,44,59,0.700258398,0.46277666,0.566742081,58021,32917,48036,24414,28567900,18879400,9688500
"290",230050045005,"Cumberland",1469,129,1340,NA,1340,"Rural",836,164,136,29,121,194,76,45,45,26,633,111,59,12,95,148,78,29,47,54,0.48374761,0.30237581,0.398580122,63000,29250,37097,24531,27762100,20854700,6907400
"291",230050045006,"Cumberland",1775,NA,1775,NA,1775,"Rural",923,230,101,112,173,102,110,62,13,20,852,125,165,102,173,149,53,42,31,12,0.174216028,0.274621212,0.222323049,44604,23260,27832,18667,25679600,16141200,9538400
"292",230050045007,"Cumberland",960,56,904,NA,904,"Rural",461,50,50,68,46,89,78,67,13,0,499,51,45,20,74,122,73,78,13,23,0.39375,0.344913151,0.366528354,59185,26217,27969,24362,20692000,12592400,8099600
"293",230050046001,"Cumberland",1493,182,1311,NA,1311,"Rural",743,87,144,27,162,203,59,41,20,0,750,136,125,31,141,178,91,30,13,5,0.392712551,0.457556936,0.424769703,58828,27984,36450,20302,33190800,20659900,12530900
"294",230050046002,"Cumberland",1717,215,1502,NA,1502,"Rural",850,147,158,59,91,143,138,51,55,8,867,117,108,81,89,232,120,34,62,24,0.471028037,0.462903226,0.466666667,62000,30794,40417,21471,39308600,27631800,11676800
"295",230050047001,"Cumberland",875,NA,875,20,855,"Rural",428,21,41,93,68,43,75,57,30,0,447,26,39,94,47,81,69,48,20,23,0.320512821,0.405325444,0.364615385,57353,27645,35762,20938,18244800,12118200,6126500
"296",230050047003,"Cumberland",1211,NA,1211,NA,1211,"Rural",603,65,101,19,107,124,81,60,36,10,608,90,50,32,161,39,139,47,36,14,0.395784543,0.283516484,0.337868481,53875,25909,34527,18611,25577100,17531800,8045200
"297",230050047004,"Cumberland",998,NA,998,NA,998,"Rural",544,69,84,76,100,94,36,61,24,0,454,45,87,43,88,116,45,19,11,0,0.216666667,0.167785235,0.194528875,50104,26359,32292,16279,18691700,11207300,7484400
"298",230050047005,"Cumberland",909,NA,909,NA,909,"Rural",466,57,28,82,71,90,91,31,0,16,443,35,105,81,69,76,40,17,10,10,0.287833828,0.205673759,0.250403877,40781,22917,30556,18194,16627400,11616800,5010600
"299",230050047006,"Cumberland",1244,NA,1244,17,1227,"Rural",637,66,94,86,124,156,60,19,12,20,607,76,70,81,155,106,60,23,23,13,0.184684685,0.268792711,0.226500566,46111,25929,29244,22802,24787600,15701000,9086600
"300",230050047007,"Cumberland",1583,NA,1583,52,1531,"Rural",776,143,161,62,93,159,74,34,36,14,807,96,135,54,123,171,51,63,64,50,0.292035398,0.295900178,0.294175716,42454,27701,30333,25265,26074800,15971900,10102900
"301",230050048011,"Cumberland",814,726,88,NA,88,"Urban",401,16,64,60,36,82,69,54,20,0,413,59,66,17,52,90,46,51,14,18,0.493150685,0.420138889,0.456896552,59091,26700,29257,20556,20770000,15580600,5189400
"302",230050048012,"Cumberland",772,607,165,NA,165,"Urban",367,33,40,0,109,77,49,36,12,11,405,54,62,25,88,60,66,18,12,20,0.183673469,0.214532872,0.19897084,51125,26618,31034,18068,15476500,9237700,6238800
"303",230050048013,"Cumberland",1176,661,515,NA,515,"Urban",497,107,60,55,96,90,45,13,23,8,679,111,69,99,149,80,53,22,52,44,0.290734824,0.289079229,0.28974359,42463,27168,28750,24306,20391000,10176200,10214800
"304",230050048015,"Cumberland",614,614,NA,NA,NA,"Urban",274,54,30,40,35,39,11,36,15,14,340,34,12,45,62,13,26,54,69,25,0.126315789,0.217557252,0.17920354,34107,25469,25170,25721,7183200,3204200,3979000
"305",230050048016,"Cumberland",1525,1116,409,NA,409,"Urban",764,154,75,70,144,103,109,99,0,10,761,113,79,87,130,115,153,36,10,38,0.24137931,0.128014842,0.182170543,45667,25208,32857,18984,28574300,19827000,8747300
"306",230050048017,"Cumberland",1295,1295,NA,NA,NA,"Urban",624,76,127,36,78,144,83,26,45,9,671,70,154,51,91,170,63,49,16,7,0.27680798,0.228971963,0.252110977,49875,25484,32969,19239,18659800,10531000,8128800
"307",230050048021,"Cumberland",1461,207,1254,10,1244,"Rural",738,117,104,89,156,109,65,67,24,7,723,98,92,104,138,99,101,32,38,21,0.13377193,0.152610442,0.14360587,45122,20273,24313,17882,21786600,13222600,8564000
"308",230050048022,"Cumberland",939,NA,939,NA,939,"Rural",496,68,85,38,89,74,68,47,8,19,443,97,42,70,84,77,21,32,6,14,0.130699088,0.128676471,0.129783694,38929,22344,29286,19500,13646600,8977900,4668700
