STATION,STATION_NAME,DATE,CLDD,HTDD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:USC00179826,WATERVILLE WWTP ME US,19530401,0,3353,1041,-9999,200,-39,121,22,71
GHCND:USC00179826,WATERVILLE WWTP ME US,19530501,26,1788,767,0,317,0,190,63,126
GHCND:USC00179826,WATERVILLE WWTP ME US,19530601,423,594,870,0,322,44,245,110,177
GHCND:USC00179826,WATERVILLE WWTP ME US,19530701,775,55,498,0,344,78,276,137,206
GHCND:USC00179826,WATERVILLE WWTP ME US,19530801,590,270,495,0,344,56,263,123,193
GHCND:USC00179826,WATERVILLE WWTP ME US,19530901,415,993,518,0,322,-17,228,100,164
GHCND:USC00179826,WATERVILLE WWTP ME US,19531001,0,2702,1328,0,256,-39,163,29,96
GHCND:USC00179826,WATERVILLE WWTP ME US,19531101,0,3964,1016,-9999,217,-67,106,-5,51
GHCND:USC00179826,WATERVILLE WWTP ME US,19531201,0,5911,1164,77,128,-161,42,-57,-8
GHCND:USC00179826,WATERVILLE WWTP ME US,19540101,0,8731,682,941,67,-278,-41,-156,-99
GHCND:USC00179826,WATERVILLE WWTP ME US,19540201,0,6092,1062,494,150,-250,20,-89,-35
GHCND:USC00179826,WATERVILLE WWTP ME US,19540301,0,5948,1059,394,133,-144,42,-60,-9
GHCND:USC00179826,WATERVILLE WWTP ME US,19540401,0,3957,1021,25,261,-128,111,-9,51
GHCND:USC00179826,WATERVILLE WWTP ME US,19540501,0,2195,1147,0,267,22,164,60,112
GHCND:USC00179826,WATERVILLE WWTP ME US,19540601,335,627,1453,0,333,44,231,116,173
GHCND:USC00179826,WATERVILLE WWTP ME US,19540701,464,208,676,0,294,56,250,132,191
GHCND:USC00179826,WATERVILLE WWTP ME US,19540801,260,276,1365,0,317,56,248,117,183
GHCND:USC00179826,WATERVILLE WWTP ME US,19540901,7,1395,3041,0,267,22,196,77,137
GHCND:USC00179826,WATERVILLE WWTP ME US,19541001,12,2515,739,0,289,-33,157,48,102
GHCND:USC00179826,WATERVILLE WWTP ME US,19541101,0,4651,1163,25,139,-67,75,-19,28
GHCND:USC00179826,WATERVILLE WWTP ME US,19541201,0,6963,977,419,122,-206,7,-90,-42
GHCND:USC00179826,WATERVILLE WWTP ME US,19550101,0,8108,280,393,28,-256,-20,-137,-79
GHCND:USC00179826,WATERVILLE WWTP ME US,19550201,0,6741,1350,507,94,-300,-2,-113,-58
GHCND:USC00179826,WATERVILLE WWTP ME US,19550301,0,6401,888,355,122,-156,25,-72,-23
GHCND:USC00179826,WATERVILLE WWTP ME US,19550401,0,3482,338,0,200,-33,122,12,67
GHCND:USC00179826,WATERVILLE WWTP ME US,19550501,154,1389,1025,0,294,17,204,82,143
GHCND:USC00179826,WATERVILLE WWTP ME US,19550601,543,671,772,0,333,61,232,126,179
GHCND:USC00179826,WATERVILLE WWTP ME US,19550701,1498,6,125,0,367,94,303,159,231
GHCND:USC00179826,WATERVILLE WWTP ME US,19550801,1049,95,1268,0,372,83,278,150,214
GHCND:USC00179826,WATERVILLE WWTP ME US,19550901,102,1275,358,0,317,-11,215,72,144
GHCND:USC00179826,WATERVILLE WWTP ME US,19551001,1,2943,696,13,256,-50,147,29,88
GHCND:USC00179826,WATERVILLE WWTP ME US,19551101,0,4798,1642,8,128,-89,61,-15,23
GHCND:USC00179826,WATERVILLE WWTP ME US,19551201,0,8551,284,266,44,-267,-31,-155,-93
GHCND:USC00179826,WATERVILLE WWTP ME US,19560101,0,6823,978,254,89,-289,10,-84,-37
GHCND:USC00179826,WATERVILLE WWTP ME US,19560201,0,6815,366,394,67,-239,10,-114,-52
GHCND:USC00179826,WATERVILLE WWTP ME US,19560301,0,5348,926,1080,106,-206,25,-106,-40
GHCND:USC00179826,WATERVILLE WWTP ME US,19560401,0,4137,938,-9999,172,-61,99,-9,45
GHCND:USC00179826,WATERVILLE WWTP ME US,19560501,0,2762,812,0,256,-22,158,30,94
GHCND:USC00179826,WATERVILLE WWTP ME US,19560601,408,568,546,0,350,44,245,110,178
GHCND:USC00179826,WATERVILLE WWTP ME US,19560701,397,258,913,0,294,78,249,126,188
GHCND:USC00179826,WATERVILLE WWTP ME US,19560801,392,358,660,0,322,44,253,115,184
GHCND:USC00179826,WATERVILLE WWTP ME US,19560901,89,1719,883,0,294,-17,186,71,129
GHCND:USC00179826,WATERVILLE WWTP ME US,19561001,0,2832,651,0,278,-56,163,20,92
GHCND:USC00179826,WATERVILLE WWTP ME US,19561101,0,4495,740,160,228,-117,92,-26,33
GHCND:USC00179826,WATERVILLE WWTP ME US,19561201,0,6839,540,457,89,-222,3,-79,-38
GHCND:USC00179826,WATERVILLE WWTP ME US,19570101,0,9285,308,798,100,-317,-52,-181,-117
GHCND:USC00179826,WATERVILLE WWTP ME US,19570201,0,6310,241,216,78,-206,17,-102,-42
GHCND:USC00179826,WATERVILLE WWTP ME US,19570301,0,5366,476,76,133,-106,57,-37,10
GHCND:USC00179826,WATERVILLE WWTP ME US,19570401,0,3397,524,115,272,-61,129,11,70
GHCND:USC00179826,WATERVILLE WWTP ME US,19570501,138,1626,661,0,311,0,204,66,135
GHCND:USC00179826,WATERVILLE WWTP ME US,19570601,655,410,903,0,333,39,261,121,191
GHCND:USC00179826,WATERVILLE WWTP ME US,19570701,556,173,1108,0,322,89,263,128,195
GHCND:USC00179826,WATERVILLE WWTP ME US,19570801,378,396,205,0,306,33,255,110,182
GHCND:USC00179826,WATERVILLE WWTP ME US,19570901,238,903,384,0,300,17,227,95,161
GHCND:USC00179826,WATERVILLE WWTP ME US,19571001,0,2569,460,0,250,-78,164,33,97
GHCND:USC00179826,WATERVILLE WWTP ME US,19571101,0,4095,1065,0,189,-122,96,-3,47
GHCND:USC00179826,WATERVILLE WWTP ME US,19571201,0,5816,1438,89,139,-161,38,-73,-18
GHCND:USC00179826,WATERVILLE WWTP ME US,19580101,0,7041,1237,-9999,72,-200,6,-94,-44
GHCND:USC00179826,WATERVILLE WWTP ME US,19580201,0,6310,293,635,50,-283,-11,-149,-80
GHCND:USC00179826,WATERVILLE WWTP ME US,19580301,0,5112,426,366,106,-78,66,-29,18
GHCND:USC00179826,WATERVILLE WWTP ME US,19580401,0,3311,1240,-9999,233,-44,135,11,73
GHCND:USC00179826,WATERVILLE WWTP ME US,19580501,20,2227,939,0,289,-33,179,33,104
GHCND:USC00179826,WATERVILLE WWTP ME US,19580601,49,897,301,0,283,11,219,85,152
